district,name,party,incumbent,elected,previous_terms
66B,Alice Hausman,DFL,Incumbent,1989,
56B,Andrea Kieffer,R,,2010,
20A,Andrew Falk,DFL,Incumbent,2008,
40B,Ann Lenczewski,DFL,Incumbent,1998,
54B,Bev Scalze,DFL,Incumbent,2004,
08A,Bill Hilty,DFL,Incumbent,1996,
17B,Bob Barrett,R,,2010,
52A,Bob Dettmer,R,Incumbent,2006,
24A,Bob Gunther,R,Incumbent,1995,
58B,Bobby Joe Champion,DFL,Incumbent,2008,
49B,Branden Petersen,R,,2010,
19A,Bruce Anderson,R,Incumbent,1994,
13B,Bruce Vogel,R,,2010,
10A,Bud Nornes,R,Incumbent,1996,
65B,Carlos Mariani,DFL,Incumbent,1990,
05B,Carly Melin,DFL,Incumbent,2011,
53B,Carol McFarlane,R,Incumbent,2006,
50A,Carolyn Laine,DFL,Incumbent,2006,
03B,Carolyn McElfatrick,R,,2010,
21A,Chris Swedzinski,R,,2010,
33B,Connie Doepke,R,Incumbent,2008,
01A,Dan Fabian,R,,2010,
06A,David Dill,DFL,Incumbent,2002,
02B,David Hancock,R,,2010,
18B,Dean Urdahl,R,Incumbent,2002,
46B,Debra Hillstrom,DFL,Incumbent,2000,
01B,Debra Kiel,R,,2010,
47A,Denise Dittrich,DFL,Incumbent,2004,
57B,Denny McNamara,R,Incumbent,2002,
38A,Diane Anderson,R,,2010,
59A,Diane Loeffler,DFL,Incumbent,2004,
38B,Doug Wardlow,R,,2010,
29A,Duane Quam,R,,2010,
64A,Erin Murphy,DFL,Incumbent,2006,
34A,Ernie Leidiger,R,,2010,
60B,Frank Hornstein,DFL,Incumbent,2002,
31A,Gene Pelowski,DFL,Incumbent,1986,
25A,Glenn Gruenhagen,R,,2010,
31B,Gregory Davids,R,Incumbent,1991,
62B,Jean Wagenius,DFL,Incumbent,1986,
27B,Jeanne Poppe,DFL,Incumbent,2004,
42B,Jennifer Loon,R,Incumbent,2008,
48B,Jim Abeler,R,Incumbent,1998,
62A,Jim Davnie,DFL,Incumbent,2000,
39B,Joe Atkins,DFL,Incumbent,2002,
34B,Joe Hoppe,R,Incumbent,2002,
19B,Joe McDonald,R,,2010,
58A,Joe Mullery,DFL,Incumbent,1996,
22A,Joe Schomacker,R,,2010,
43B,John Benson,DFL,Incumbent,2006,
57A,John Kriesel,R,,2010,
66A,John Lesch,DFL,Incumbent,2002,
04A,John Persell,DFL,Incumbent,2008,
12A,John Ward,DFL,Incumbent,2006,
32A,Joyce Peppin,R,Incumbent,2004,
61A,Karen Clark,DFL,Incumbent,1980,
50B,Kate Knuth,DFL,Incumbent,2006,
23B,Kathy Brynaert,DFL,Incumbent,2006,
56A,Kathy Lohmer,R,,2010,
41A,Keith Downey,R,Incumbent,2008,
25B,Kelby Woodard,R,,2010,
02A,Kent Eken,DFL,Incumbent,2002,
07B,Kerry Gauthier,DFL,,2010,
29B,Kim Norton,DFL,Incumbent,2006,
15B,King Banaian,R,,2010,
42A,Kirk Stensrud,R,,2010,
26A,Kory Kath,DFL,Incumbent,2008,
37B,Kurt Bills,R,,2010,
17A,Kurt Daudt,R,,2010,
32B,Kurt Zellers,R,Incumbent,2003,
