district,name,party,incumbent,elected,previous_terms
25, Al  DeKruif,R,,2010,
19,Amy T.  Koch,R,Incumbent,2005,
45,Ann Rest,DFL,Incumbent,2000,
50,Barb Goodwin,DFL,,2010,
47,Benjamin A.  Kruse,R,,2010,
11,Bill Ingebrigsten,R,Incumbent,2006,
30,Carla Nelson,R,,2010,
55,Charles Wiger,DFL,Incumbent,1996,
37,Chris  Gerlach,R,Incumbent,2004,
46,Linda Scheid,DFL,Incumbent,1997,
35,Claire A.  Robling,R,Incumbent,1996,
60,Scott Dibble,DFL,Incumbent,2002,
27,Dan Sparks,DFL,Incumbent,2002,
40,Dan Hall,R,,2010,
36,Dave Thompson,R,,2010,
29,David Senjem,R,Incumbent,2002,
5,David Tomassoni,DFL,Incumbent,2000,
16,Dave Brown,R,,2010,
42,David Hann,R,Incumbent,2002,
22,Doug  Magnus,R,,2010,
21,Gary Dahms,R,,2010,
20,Gary W.  Kubly,DFL,Incumbent,2003,
33,Gen  Olson,R,Incumbent,1982,
41,Geoff  Michel,R,Incumbent,2002,
10,Gretchen M.  Hoffman,R,,2010,
39,James Metzen,DFL,Incumbent,1986,
61,Linda Berglin,DFL,Incumbent,1981,
31,Jeremy Miller,R,,2010,
13,Joe  Gimse,R,Incumbent,2006,
4,John  Carlson,R,,2010,
28,John  Howe,R,,2010,
54,John Marty,DFL,Incumbent,1986,
15,John Pederson,R,,2010,
67,John M.  Harrington,DFL,,2010,
34,Julianne Ortman,R,Incumbent,2002,
24,Julie Rosen,R,Incumbent,2002,
59,Larry Pogemiller,DFL,Incumbent,1993,
23,Kathy Sheran,DFL,Incumbent,2006,
57,Katie Sieben,DFL,Incumbent,2006,
9,Keith  Langseth,DFL,Incumbent,1980,
63,Kenneth S.  Kelash,DFL,Incumbent,2008,
1,Leroy Stumpf,DFL,Incumbent,1982,
58,Linda  Higgins,DFL,Incumbent,1996,
66,Ellen Anderson,DFL,Incumbent,1993,
48,Michael J.  Jungbauer,R,Incumbent,2002,
14,Michelle Fischbach,R,Incumbent,1996,
49,Michelle Benson,R,,2010,
26,Mike  Parry,R,,2010,
51,Pam  Wolf,R,,2010,
62,Patricia Torres Ray,DFL,Incumbent,2006,
12,Paul Gazelka,R,,2010,
52,Ray  Vandeveer,R,Incumbent,2006,
64,Richard Cohen,DFL,Incumbent,1986,
2,Rod Skoe,DFL,Incumbent,2002,
53,Roger Chamberlain,R,,2010,
7,Roger Reinert,DFL,,2010,
44,Ron Latz,DFL,Incumbent,2006,
65,Sandy Pappas,DFL,Incumbent,1990,
18,Scott Newman,R,,2010,
17,Sean Nienow,R,Incumbent,2002,
56,Ted H.  Lillie,R,,2010,
43,Terri Bonoff,DFL,Incumbent,2005,
38,Ted Daley,R,,2010,
6,Tom Bakk,DFL,Incumbent,2002,
3,Tom Saxhaug,DFL,Incumbent,2002,
8,Tony Lourey,DFL,Incumbent,2006,
32,Warren Limmer,R,Incumbent,1995,
